type,time,milli_volts,milli_amps
sha2-256,run,5048,640
sha2-256,run,5048,656
sha2-256,run,5048,672
sha2-256,run,5048,680
sha2-256,run,5048,688
sha2-256,run,5048,696
sha2-256,run,5048,696
sha2-256,run,5048,696
sha2-256,run,5048,704
sha2-256,run,5048,704
sha2-256,run,5048,704
sha2-256,run,5048,704
sha2-256,run,5048,704
sha2-256,run,5048,704
sha2-256,run,5048,704
sha2-256,run,5048,704
sha2-256,run,5048,712
sha2-256,run,5048,712
sha2-256,run,5048,712
sha2-256,run,5048,712
sha2-256,run,5048,712
sha2-256,run,5048,712
sha2-256,run,5048,712
sha2-256,run,5048,704
sha2-256,run,5048,712
sha2-256,run,5048,704
sha2-256,run,5048,704
sha2-256,run,5048,704
sha2-256,run,5048,704
sha2-256,run,5048,704
sha2-256,run,5048,704
sha2-256,run,5048,704
sha2-256,run,5048,712
sha2-256,run,5048,712
sha2-256,run,5048,712
sha2-256,run,5048,712
sha2-256,run,5048,712
sha2-256,run,5048,704
sha2-256,run,5048,704
sha2-256,run,5048,704
sha2-256,run,5048,712
sha2-256,run,5048,712
sha2-256,run,5048,712
sha2-256,run,5048,712
sha2-256,run,5048,712
sha2-256,run,5048,712
sha2-256,run,5048,712
sha2-256,run,5048,712
sha2-256,run,5048,712
sha2-256,run,5048,712
sha2-256,run,5048,712
sha2-256,run,5048,704
sha2-256,run,5048,712
sha2-256,run,5048,712
sha2-256,run,5048,712
sha2-256,run,5048,712
sha2-256,run,5048,712
sha2-256,run,5048,712
sha2-256,run,5048,712
sha2-256,run,5048,712
sha2-256,run,5048,712
sha2-256,run,5048,712
sha2-256,run,5048,712
sha2-256,run,5048,704
